word,word_mark,pos_tag,annotation
has,has,AUX,O
been,been,AUX,O
filled,filled,VERB,O
with,with,ADP,O
new,new,ADJ,O
v,v,NOUN,O
ital,##ital,NOUN,O
ity,##ity,NOUN,O
and,and,CCONJ,O
energy,energy,NOUN,O
.,.,PUNCT,O
###,###,SPACE,O
By,By,ADP,O
the,the,DET,O
end,end,NOUN,O
of,of,ADP,O
September,September,PROPN,O
of,of,ADP,O
this,this,DET,O
year,year,NOUN,O
",",",",PUNCT,O
s,s,VERB,O
orted,##orted,VERB,O
by,by,ADP,O
the,the,DET,O
amount,amount,NOUN,O
of,of,ADP,O
foreign,foreign,ADJ,O
capital,capital,NOUN,O
actually,actually,ADV,O
util,util,VERB,O
ized,##ized,VERB,O
",",",",PUNCT,O
the,the,DET,O
first,first,ADJ,O
ten,ten,NUM,O
count,count,NOUN,O
ries,##ries,NOUN,O
and,and,CCONJ,O
reg,reg,NOUN,O
ions,##ions,NOUN,O
that,that,DET,O
invest,invest,VERB,O
the,the,DET,O
most,most,ADJ,O
in,in,ADP,O
China,China,PROPN,B-geo
success,success,ADV,O
ively,##ively,ADV,O
are,are,AUX,O
Hong,Hong,PROPN,B-geo
K,K,PROPN,I-geo
ong,##ong,PROPN,I-geo
",",",",PUNCT,O
Tai,Tai,PROPN,B-geo
wan,##wan,PROPN,I-geo
",",",",PUNCT,O
Japan,Japan,PROPN,B-geo
",",",",PUNCT,O
US,US,PROPN,B-geo
",",",",PUNCT,O
Sing,Sing,PROPN,B-geo
apore,##apore,PROPN,I-geo
",",",",PUNCT,O
K,K,PROPN,B-geo
orea,##orea,PROPN,I-geo
",",",",PUNCT,O
UK,UK,PROPN,B-geo
",",",",PUNCT,O
Germany,Germany,PROPN,B-geo
",",",",PUNCT,O
Virgin,Virgin,PROPN,B-geo
Is,Is,PROPN,I-geo
lands,##lands,PROPN,I-geo
and,and,CCONJ,O
France,France,PROPN,B-geo
.,.,PUNCT,O
###,###,SPACE,O
After,After,ADP,O
X,X,PROPN,B-geo
iam,##iam,PROPN,I-geo
en,##en,PROPN,I-geo
bec,bec,VERB,O
ame,##ame,VERB,O
the,the,DET,O
first,first,ADJ,O
exper,exper,ADJ,O
imental,##imental,ADJ,O
port,port,NOUN,O
of,of,ADP,O
direct,direct,ADJ,O
sh,sh,NOUN,O
ipping,##ipping,NOUN,O
ac,ac,ADP,O
ross,##ross,ADP,O
the,the,DET,O
St,St,PROPN,B-geo
raits,##raits,PROPN,I-geo
this,this,DET,O
year,year,NOUN,O
",",",",PUNCT,O
large,large,ADJ,O
sh,sh,NOUN,O
ipping,##ipping,NOUN,O
and,and,CCONJ,O
service,service,NOUN,O
compan,compan,NOUN,O
ies,##ies,NOUN,O
of,of,ADP,O
Tai,Tai,PROPN,B-geo
wan,##wan,PROPN,I-geo
such,such,ADJ,O
as,as,ADP,O
L,L,PROPN,B-geo
ir,##ir,PROPN,I-geo
ong,##ong,PROPN,I-geo
",",",",PUNCT,O
Wan,Wan,PROPN,B-geo
hai,##hai,PROPN,I-geo
",",",",PUNCT,O
etc,etc,X,O
.,##.,X,O
success,success,ADV,O
ively,##ively,ADV,O
started,started,VERB,O
regular,regular,ADJ,O
tri,tri,NOUN,O
ps,##ps,NOUN,O
to,to,ADP,O
X,X,PROPN,B-geo
iam,##iam,PROPN,I-geo
en,##en,PROPN,I-geo
.,.,PUNCT,O
###,###,SPACE,O
The,The,DET,O
ins,ins,NOUN,O
urance,##urance,NOUN,O
contract,contract,NOUN,O
for,for,ADP,O
the,the,DET,O
fl,fl,NOUN,O
ood,##ood,NOUN,O
dis,dis,NOUN,O
charge,##charge,NOUN,O
dam,dam,NOUN,O
and,and,CCONJ,O
its,its,PRON,O
related,related,ADJ,O
projects,projects,NOUN,O
-,-,PUNCT,O
the,the,DET,O
largest,largest,ADJ,O
bid,bid,NOUN,O
of,of,ADP,O
the,the,DET,O
second,second,ADJ,O
phase,phase,NOUN,O
project,project,NOUN,O
of,of,ADP,O
the,the,DET,O
Three,Three,NUM,O
G,G,PROPN,O
org,##org,PROPN,O
es,##es,PROPN,O
Project,Project,PROPN,O
over,over,ADP,O
the,the,DET,B-geo
Yang,Yang,PROPN,I-geo
t,##t,PROPN,I-geo
ze,##ze,PROPN,I-geo
River,River,PROPN,I-geo
-,-,PUNCT,O
was,was,AUX,O
signed,signed,VERB,O
today,today,NOUN,O
by,by,ADP,O
the,the,DET,O
Yang,Yang,PROPN,O
t,##t,PROPN,O
ze,##ze,PROPN,O
River,River,PROPN,O
Three,Three,PROPN,O
G,G,PROPN,O
org,##org,PROPN,O
es,##es,PROPN,O
Development,Development,PROPN,O
Cor,Cor,PROPN,O
por,##por,PROPN,O
ation,##ation,PROPN,O
of,of,ADP,O
China,China,PROPN,B-geo
and,and,CCONJ,O
the,the,DET,O
Property,Property,PROPN,O
Ins,Ins,PROPN,O
urance,##urance,PROPN,O
Company,Company,PROPN,O
of,of,ADP,O
P,P,PROPN,O
IC,##IC,PROPN,O
C,##C,PROPN,O
at,at,ADP,O
the,the,DET,O
const,const,NOUN,O
ruction,##ruction,NOUN,O
site,site,NOUN,O
of,of,ADP,O
the,the,DET,O
Three,Three,PROPN,O
G,G,PROPN,O
org,##org,PROPN,O
es,##es,PROPN,O
Project,Project,PROPN,O
.,.,PUNCT,O
###,###,SPACE,O
In,In,ADP,O
recent,recent,ADJ,O
years,years,NOUN,O
",",",",PUNCT,O
Gu,Gu,PROPN,B-geo
ang,##ang,PROPN,I-geo
d,##d,PROPN,I-geo
ong,##ong,PROPN,I-geo
Prov,Prov,PROPN,I-geo
ince,##ince,PROPN,I-geo
has,has,AUX,O
used,used,VERB,O
the,the,DET,B-geo
Z,Z,PROPN,I-geo
hu,##hu,PROPN,I-geo
jiang,##jiang,PROPN,I-geo
Delta,Delta,PROPN,I-geo
as,as,ADP,O
a,a,DET,O
leader,leader,NOUN,O
",",",",PUNCT,O
f,f,VERB,O
ocusing,##ocusing,VERB,O
on,on,ADP,O
seven,seven,NUM,O
new,new,ADJ,O
high,high,ADJ,O
level,level,NOUN,O
technology,technology,NOUN,O
fields,fields,NOUN,O
such,such,ADJ,O
as,as,ADP,O
elect,elect,ADJ,O
ronic,##ronic,ADJ,O
information,information,NOUN,O
",",",",PUNCT,O
bi,bi,NOUN,O
otechnology,##otechnology,NOUN,O
",",",",PUNCT,O
new,new,ADJ,O
material,material,NOUN,O
s,##s,NOUN,O
",",",",PUNCT,O
elect,elect,ADJ,O
rom,##rom,ADJ,O
ech,##ech,ADJ,O
anical,##anical,ADJ,O
integ,integ,NOUN,O
ration,##ration,NOUN,O
",",",",PUNCT,O
etc,etc,X,O
.,.,X,O
###,###,SPACE,O
",",",",PUNCT,O
and,and,CCONJ,O
v,v,ADV,O
ig,##ig,ADV,O
orously,##orously,ADV,O
prom,prom,VERB,O
oted,##oted,VERB,O
development,development,NOUN,O
of,of,ADP,O
new,new,ADJ,O
high,high,ADJ,O
level,level,NOUN,O
technology,technology,NOUN,O
indust,indust,NOUN,O
ries,##ries,NOUN,O
.,.,PUNCT,O
###,###,SPACE,O
At,At,ADP,O
present,present,NOUN,O
",",",",PUNCT,O
the,the,DET,O
area,area,NOUN,O
of,of,ADP,O
invest,invest,NOUN,O
ment,##ment,NOUN,O
in,in,ADP,O
Sh,Sh,PROPN,B-geo
aan,##aan,PROPN,I-geo
xi,##xi,PROPN,I-geo
by,by,ADP,O
foreign,foreign,ADJ,O
invest,invest,NOUN,O
ors,##ors,NOUN,O
rad,rad,VERB,O
iates,##iates,VERB,O
out,out,ADP,O
from,from,ADP,O
the,the,DET,B-geo
G,G,PROPN,I-geo
uan,##uan,PROPN,I-geo
zh,##zh,PROPN,I-geo
ong,##ong,PROPN,I-geo
Pl,Pl,PROPN,I-geo
ain,##ain,PROPN,I-geo
to,to,ADP,O
the,the,DET,O
mount,mount,NOUN,O
ain,##ain,NOUN,O
are,are,NOUN,O
as,##as,NOUN,O
in,in,ADP,O
s,s,ADJ,O
outhern,##outhern,ADJ,O
Sh,Sh,PROPN,B-geo
aan,##aan,PROPN,I-geo
xi,##xi,PROPN,I-geo
and,and,CCONJ,O
the,the,DET,B-geo
Lo,Lo,PROPN,I-geo
ess,##ess,PROPN,I-geo
Pl,Pl,PROPN,I-geo
ate,##ate,PROPN,I-geo
au,##au,PROPN,I-geo
in,in,ADP,O
n,n,ADJ,O
orthern,##orthern,ADJ,O
Sh,Sh,PROPN,B-geo
aan,##aan,PROPN,I-geo
xi,##xi,PROPN,I-geo
.,.,PUNCT,O
###,###,SPACE,O
This,This,DET,O
re,re,NOUN,O
porter,##porter,NOUN,O
recent,recent,ADV,O
ly,##ly,ADV,O
dro,dro,VERB,O
ve,##ve,VERB,O
to,to,ADP,O
c,c,NOUN,O
ities,##ities,NOUN,O
such,such,ADJ,O
as,as,ADP,O
Gu,Gu,PROPN,B-geo
ang,##ang,PROPN,I-geo
xi,##xi,PROPN,I-geo
's,'s,PART,O
F,F,PROPN,B-geo
ang,##ang,PROPN,I-geo
che,##che,PROPN,I-geo
ng,##ng,PROPN,I-geo
gang,##gang,PROPN,I-geo
",",",",PUNCT,O
Q,Q,PROPN,B-geo
in,##in,PROPN,I-geo
zhou,##zhou,PROPN,I-geo
",",",",PUNCT,O
Be,Be,PROPN,B-geo
ih,##ih,PROPN,I-geo
ai,##ai,PROPN,I-geo
",",",",PUNCT,O
Z,Z,PROPN,B-geo
han,##han,PROPN,I-geo
jiang,##jiang,PROPN,I-geo
",",",",PUNCT,O
etc,etc,X,O
.,##.,X,O
to,to,PART,O
g,g,VERB,O
ather,##ather,VERB,O
news,news,NOUN,O
",",",",PUNCT,O
and,and,CCONJ,O
saw,saw,VERB,O
that,that,SCONJ,O
with,with,ADP,O
the,the,DET,O
opening,opening,NOUN,O
and,and,CCONJ,O
operation,operation,NOUN,O
of,of,ADP,O
the,the,DET,O
N,N,PROPN,B-geo
an,##an,PROPN,I-geo
ning,##ning,PROPN,I-geo
-,-,PUNCT,O
K,K,PROPN,B-geo
un,##un,PROPN,I-geo
ming,##ming,PROPN,I-geo
rail,rail,NOUN,O
way,##way,NOUN,O
",",",",PUNCT,O
these,these,DET,O
four,four,NUM,O
port,port,NOUN,O
c,c,NOUN,O
ities,##ities,NOUN,O
along,along,ADP,O
the,the,DET,O
co,co,NOUN,O
ast,##ast,NOUN,O
of,of,ADP,O
the,the,DET,B-geo
Northern,Northern,PROPN,I-geo
G,G,PROPN,I-geo
ulf,##ulf,PROPN,I-geo
have,have,VERB,O
d,d,NOUN,O
ocks,##ocks,NOUN,O
that,that,DET,O
are,are,VERB,O
an,an,ADJ,O
xious,##xious,ADJ,O
and,and,CCONJ,O
bus,bus,ADJ,O
y,##y,ADJ,O
with,with,ADP,O
the,the,DET,O
loading,loading,NOUN,O
and,and,CCONJ,O
un,un,NOUN,O
loading,##loading,NOUN,O
of,of,ADP,O
c,c,NOUN,O
argo,##argo,NOUN,O
",",",",PUNCT,O
and,and,CCONJ,O
along,along,ADP,O
the,the,DET,O
co,co,NOUN,O
ast,##ast,NOUN,O
",",",",PUNCT,O
a,a,DET,O
number,number,NOUN,O
of,of,ADP,O
new,new,ADJ,O
d,d,NOUN,O
ocks,##ocks,NOUN,O
are,are,AUX,O
speed,speed,ADV,O
ily,##ily,ADV,O
being,being,AUX,O
con,con,VERB,O
structed,##structed,VERB,O
.,.,PUNCT,O
###,###,SPACE,O
In,In,ADP,O
order,order,NOUN,O
to,to,PART,O
meet,meet,VERB,O
the,the,DET,O
dem,dem,NOUN,O
ands,##ands,NOUN,O
of,of,ADP,O
rap,rap,ADJ,O
id,##id,ADJ,O
growth,growth,NOUN,O
of,of,ADP,O
good,good,NOUN,O
s,##s,NOUN,O
and,and,CCONJ,O
material,material,NOUN,O
s,##s,NOUN,O
im,im,NOUN,O
ports,##ports,NOUN,O
and,and,CCONJ,O
ex,ex,NOUN,O
ports,##ports,NOUN,O
in,in,ADP,O
the,the,DET,O
great,great,ADJ,O
south,south,NOUN,O
west,##west,NOUN,O
",",",",PUNCT,O
the,the,DET,O
four,four,NUM,O
co,co,ADJ,O
ast,##ast,ADJ,O
al,##al,ADJ,O
c,c,NOUN,O
ities,##ities,NOUN,O
in,in,ADP,O
the,the,DET,B-geo
Northern,Northern,PROPN,I-geo
G,G,PROPN,I-geo
ulf,##ulf,PROPN,I-geo
have,have,AUX,O
started,started,VERB,O
a,a,DET,O
new,new,ADJ,O
ups,ups,NOUN,O
ur,##ur,NOUN,O
ge,##ge,NOUN,O
of,of,ADP,O
construct,construct,VERB,O
ing,##ing,VERB,O
ports,ports,NOUN,O
.,.,PUNCT,O
###,###,SPACE,O
Last,Last,ADJ,O
year,year,NOUN,O
",",",",PUNCT,O
not,not,PART,O
only,only,ADV,O
did,did,AUX,O
China,China,PROPN,B-geo
's,'s,PART,O
ex,ex,NOUN,O
ports,##ports,NOUN,O
to,to,ADP,O
such,such,ADJ,O
traditional,traditional,ADJ,O
markets,markets,NOUN,O
as,as,ADP,O
Asia,Asia,PROPN,B-geo
",",",",PUNCT,O
Europe,Europe,PROPN,B-geo
",",",",PUNCT,O
North,North,PROPN,B-geo
America,America,PROPN,I-geo
",",",",PUNCT,O
etc,etc,X,O
.,##.,X,O
",",",",PUNCT,O
continue,continue,VERB,O
to,to,PART,O
m,m,VERB,O
aintain,##aintain,VERB,O
com,com,ADV,O
par,##par,ADV,O
atively,##atively,ADV,O
large,large,ADJ,O
grow,grow,NOUN,O
",",",",PUNCT,O
but,but,CCONJ,O
export,export,NOUN,O
growth,growth,NOUN,O
to,to,ADP,O
Latin,Latin,PROPN,B-geo
America,America,PROPN,I-geo
",",",",PUNCT,O
Af,Af,PROPN,B-geo
rica,##rica,PROPN,I-geo
and,and,CCONJ,O
O,O,PROPN,B-geo
ce,##ce,PROPN,I-geo
ania,##ania,PROPN,I-geo
was,was,VERB,O
even,even,ADV,O
f,f,ADV,O
aster,##aster,ADV,O
",",",",PUNCT,O
with,with,ADP,O
growth,growth,NOUN,O
rates,rates,NOUN,O
reaching,reaching,VERB,O
47,47,NUM,O
.,##.,NUM,O
7,##7,NUM,O
%,%,NOUN,O
",",",",PUNCT,O
24,24,NUM,O
.,##.,NUM,O
9,##9,NUM,O
%,%,NOUN,O
and,and,CCONJ,O
22,22,NUM,O
.,##.,NUM,O
1,##1,NUM,O
%,%,NOUN,O
respect,respect,ADV,O
ively,##ively,ADV,O
.,.,PUNCT,O
###,###,SPACE,O
Since,Since,SCONJ,O
being,being,AUX,O
put,put,VERB,O
into,into,ADP,O
operation,operation,NOUN,O
five,five,NUM,O
years,years,NOUN,O
ago,ago,ADV,O
",",",",PUNCT,O
the,the,DET,B-geo
T,T,PROPN,I-geo
ian,##ian,PROPN,I-geo
jin,##jin,PROPN,I-geo
Port,Port,PROPN,I-geo
B,B,PROPN,I-geo
ond,##ond,PROPN,I-geo
ed,##ed,PROPN,I-geo
Area,Area,PROPN,I-geo
has,has,AUX,O
com,com,VERB,O
pleted,##pleted,VERB,O
the,the,DET,O
const,const,NOUN,O
ruction,##ruction,NOUN,O
of,of,ADP,O
China,China,PROPN,B-geo
's,'s,PART,O
first,first,ADJ,O
good,good,NOUN,O
s,##s,NOUN,O
dist,dist,NOUN,O
ribution,##ribution,NOUN,O
center,center,NOUN,O
",",",",PUNCT,O
fun,fun,NOUN,O
ctions,##ctions,NOUN,O
like,like,ADP,O
a,a,DET,O
custom,custom,NOUN,O
s,##s,NOUN,O
port,port,NOUN,O
",",",",PUNCT,O
opened,opened,VERB,O
up,up,ADP,O
the,the,DET,O
special,special,ADJ,O
use,use,NOUN,O
the,the,DET,O
rail,rail,NOUN,O
way,##way,NOUN,O
line,line,NOUN,O
from,from,ADP,O
the,the,DET,B-geo
T,T,PROPN,I-geo
ian,##ian,PROPN,I-geo
jin,##jin,PROPN,I-geo
Port,Port,PROPN,I-geo
B,B,PROPN,I-geo
ond,##ond,PROPN,I-geo
ed,##ed,PROPN,I-geo
Area,Area,PROPN,I-geo
pass,pass,VERB,O
ing,##ing,VERB,O
Xi,Xi,PROPN,B-geo
',##',PROPN,I-geo
an,##an,PROPN,I-geo
and,and,CCONJ,O
L,L,PROPN,B-geo
anz,##anz,PROPN,I-geo
hou,##hou,PROPN,I-geo
to,to,PART,O
ar,ar,VERB,O
rive,##rive,VERB,O
at,at,ADP,O
X,X,PROPN,B-geo
in,##in,PROPN,I-geo
jiang,##jiang,PROPN,I-geo
's,'s,PART,O
Allah,Allah,PROPN,B-geo
M,M,PROPN,I-geo
ountain,##ountain,PROPN,I-geo
pass,pass,VERB,O
custom,custom,NOUN,O
s,##s,NOUN,O
port,port,NOUN,O
",",",",PUNCT,O
established,established,VERB,O
a,a,DET,O
number,number,NOUN,O
of,of,ADP,O
large,large,ADJ,O
-,-,PUNCT,O
scale,scale,NOUN,O
material,material,NOUN,O
s,##s,NOUN,O
circ,circ,NOUN,O
ulation,##ulation,NOUN,O
dist,dist,NOUN,O
ribution,##ribution,NOUN,O
and,and,CCONJ,O
supp,supp,NOUN,O
ly,##ly,NOUN,O
cent,cent,NOUN,O
ers,##ers,NOUN,O
integ,integ,VERB,O
rating,##rating,VERB,O
storage,storage,NOUN,O
",",",",PUNCT,O
trans,trans,NOUN,O
portation,##portation,NOUN,O
and,and,CCONJ,O
s,s,NOUN,O
ales,##ales,NOUN,O
",",",",PUNCT,O
opened,opened,VERB,O
multiple,multiple,ADJ,O
rail,rail,NOUN,O
way,##way,NOUN,O
and,and,CCONJ,O
international,international,ADJ,O
container,container,NOUN,O
j,j,ADJ,O
oint,##oint,ADJ,O
-,-,PUNCT,O
oper,oper,NOUN,O
ations,##ations,NOUN,O
with,with,ADP,O
a,a,DET,O
month,month,ADJ,O
ly,##ly,ADJ,O
loading,loading,NOUN,O
and,and,CCONJ,O
un,un,NOUN,O
loading,##loading,NOUN,O
capacity,capacity,NOUN,O
reaching,reaching,VERB,O
6,6,NUM,O
",","##,",NUM,O
000,##000,NUM,O
standard,standard,ADJ,O
cont,cont,NOUN,O
ainers,##ainers,NOUN,O
.,.,PUNCT,O
###,###,SPACE,O
In,In,ADP,O
t,t,VERB,O
ack,##ack,VERB,O
ling,##ling,VERB,O
key,key,ADJ,O
scientific,scientific,ADJ,O
and,and,CCONJ,O
techn,techn,ADJ,O
ological,##ological,ADJ,O
pro,pro,NOUN,O
blems,##blems,NOUN,O
",",",",PUNCT,O
such,such,ADJ,O
new,new,ADJ,O
oil,oil,NOUN,O
fields,fields,NOUN,O
as,as,ADP,O
the,the,DET,O
western,western,ADJ,O
Tar,Tar,PROPN,B-geo
im,##im,PROPN,I-geo
Bas,Bas,PROPN,I-geo
in,##in,PROPN,I-geo
",",",",PUNCT,O
etc,etc,X,O
.,##.,X,O
should,should,AUX,O
be,be,AUX,O
focused,focused,VERB,O
on,on,ADP,O
",",",",PUNCT,O
new,new,ADJ,O
expl,expl,NOUN,O
oration,##oration,NOUN,O
should,should,AUX,O
be,be,AUX,O
pro,pro,VERB,O
spect,##spect,VERB,O
ed,##ed,VERB,O
",",",",PUNCT,O
and,and,CCONJ,O
more,more,ADJ,O
oil,oil,NOUN,O
resources,resources,NOUN,O
should,should,AUX,O
be,be,AUX,O
acqu,acqu,VERB,O
ired,##ired,VERB,O
.,.,PUNCT,O
###,###,SPACE,O
This,This,DET,O
will,will,AUX,O
also,also,ADV,O
have,have,VERB,O
a,a,DET,O
big,big,ADJ,O
driving,driving,VERB,O
effect,effect,NOUN,O
on,on,ADP,O
the,the,DET,O
industrial,industrial,ADJ,O
optim,optim,NOUN,O
ization,##ization,NOUN,O
of,of,ADP,O
the,the,DET,O
reg,reg,NOUN,O
ions,##ions,NOUN,O
of,of,ADP,O
Sh,Sh,PROPN,B-geo
an,##an,PROPN,I-geo
ghai,##ghai,PROPN,I-geo
and,and,CCONJ,O
the,the,DET,O
Yang,Yang,PROPN,B-geo
t,##t,PROPN,I-geo
ze,##ze,PROPN,I-geo
River,River,PROPN,I-geo
val,val,NOUN,O
ley,##ley,NOUN,O
.,.,PUNCT,O
###,###,SPACE,O
An,An,DET,O
official,official,NOUN,O
from,from,ADP,O
China,China,PROPN,B-geo
's,'s,PART,O
Pet,Pet,PROPN,O
roleum,##roleum,PROPN,O
and,and,CCONJ,O
Natural,Natural,PROPN,O
Gas,Gas,PROPN,O
Cor,Cor,PROPN,O
por,##por,PROPN,O
ation,##ation,PROPN,O
",",",",PUNCT,O
when,when,ADV,O
being,being,AUX,O
inter,inter,VERB,O
view,##view,VERB,O
ed,##ed,VERB,O
recent,recent,ADV,O
ly,##ly,ADV,O
by,by,ADP,O
a,a,DET,O
re,re,NOUN,O
porter,##porter,NOUN,O
from,from,ADP,O
this,this,DET,O
news,news,NOUN,O
agency,agency,NOUN,O
",",",",PUNCT,O
said,said,VERB,O
that,that,SCONJ,O
China,China,PROPN,B-geo
will,will,AUX,O
f,f,ADV,O
urther,##urther,ADV,O
ac,ac,VERB,O
celer,##celer,VERB,O
ate,##ate,VERB,O
pro,pro,VERB,O
spect,##spect,VERB,O
ing,##ing,VERB,O
and,and,CCONJ,O
development,development,NOUN,O
natural,natural,ADJ,O
gas,gas,NOUN,O
resources,resources,NOUN,O
of,of,ADP,O
the,the,DET,B-geo
S,S,PROPN,I-geo
ich,##ich,PROPN,I-geo
uan,##uan,PROPN,I-geo
Bas,Bas,PROPN,I-geo
in,##in,PROPN,I-geo
to,to,PART,O
incre,incre,VERB,O
ase,##ase,VERB,O
back,back,ADJ,O
up,##up,ADJ,O
res,res,NOUN,O
erves,##erves,NOUN,O
and,and,CCONJ,O
output,output,NOUN,O
",",",",PUNCT,O
and,and,CCONJ,O
is,is,AUX,O
prep,prep,VERB,O
aring,##aring,VERB,O
to,to,PART,O
fully,fully,ADV,O
util,util,VERB,O
ize,##ize,VERB,O
natural,natural,ADJ,O
gas,gas,NOUN,O
resources,resources,NOUN,O
",",",",PUNCT,O
and,and,CCONJ,O
to,to,PART,O
develop,develop,VERB,O
the,the,DET,O
natural,natural,ADJ,O
gas,gas,NOUN,O
and,and,CCONJ,O
chemical,chemical,NOUN,O
indust,indust,NOUN,O
ry,##ry,NOUN,O
.,.,PUNCT,O
###,###,SPACE,O
Currently,Currently,ADV,O
",",",",PUNCT,O
the,the,DET,O
natural,natural,ADJ,O
gas,gas,NOUN,O
resources,resources,NOUN,O
found,found,VERB,O
along,along,ADP,O
the,the,DET,O
upper,upper,ADJ,O
and,and,CCONJ,O
middle,middle,ADJ,O
re,re,NOUN,O
aches,##aches,NOUN,O
of,of,ADP,O
the,the,DET,B-geo
Yang,Yang,PROPN,I-geo
t,##t,PROPN,I-geo
ze,##ze,PROPN,I-geo
River,River,PROPN,I-geo
are,are,AUX,O
main,main,ADV,O
ly,##ly,ADV,O
dist,dist,VERB,O
ributed,##ributed,VERB,O
in,in,ADP,O
S,S,PROPN,B-geo
ich,##ich,PROPN,I-geo
uan,##uan,PROPN,I-geo
Prov,Prov,PROPN,I-geo
ince,##ince,PROPN,I-geo
",",",",PUNCT,O
the,the,DET,B-geo
Ch,Ch,PROPN,I-geo
ong,##ong,PROPN,I-geo
q,##q,PROPN,I-geo
ing,##ing,PROPN,I-geo
M,M,PROPN,I-geo
unicip,##unicip,PROPN,I-geo
ality,##ality,PROPN,I-geo
and,and,CCONJ,O
the,the,DET,O
north,north,ADJ,O
western,##western,ADJ,O
area,area,NOUN,O
of,of,ADP,O
H,H,PROPN,B-geo
ube,##ube,PROPN,I-geo
i,##i,PROPN,I-geo
Prov,Prov,PROPN,I-geo
ince,##ince,PROPN,I-geo
",",",",PUNCT,O
among,among,ADP,O
which,which,DET,O
S,S,PROPN,B-geo
ich,##ich,PROPN,I-geo
uan,##uan,PROPN,I-geo
Prov,Prov,PROPN,I-geo
ince,##ince,PROPN,I-geo
and,and,CCONJ,O
the,the,DET,B-geo
Ch,Ch,PROPN,I-geo
ong,##ong,PROPN,I-geo
q,##q,PROPN,I-geo
ing,##ing,PROPN,I-geo
M,M,PROPN,I-geo
unicip,##unicip,PROPN,I-geo
ality,##ality,PROPN,I-geo
's,'s,PART,O
natural,natural,ADJ,O
gas,gas,NOUN,O
resources,resources,NOUN,O
are,are,VERB,O
the,the,DET,O
ric,ric,ADJ,O
hest,##hest,ADJ,O
.,.,PUNCT,O
###,###,SPACE,O
In,In,ADP,O
the,the,DET,B-geo
S,S,PROPN,I-geo
ich,##ich,PROPN,I-geo
uan,##uan,PROPN,I-geo
Bas,Bas,PROPN,I-geo
in,##in,PROPN,I-geo
alone,alone,ADV,O
",",",",PUNCT,O
the,the,DET,O
ric,ric,ADJ,O
hest,##hest,ADJ,O
of,of,ADP,O
China,China,PROPN,B-geo
's,'s,PART,O
three,three,NUM,O
great,great,ADJ,O
land,land,NOUN,O
-,-,PUNCT,O
based,based,VERB,O
natural,natural,ADJ,O
gas,gas,NOUN,O
res,res,NOUN,O
erves,##erves,NOUN,O
",",",",PUNCT,O
an,an,DET,O
acc,acc,VERB,O
um,##um,VERB,O
ulated,##ulated,VERB,O
amount,amount,NOUN,O
of,of,ADP,O
163,163,NUM,O
.,##.,NUM,O
3,##3,NUM,O
billion,billion,NUM,O
c,c,ADJ,O
ub,##ub,ADJ,O
ic,##ic,ADJ,O
met,met,NOUN,O
ers,##ers,NOUN,O
of,of,ADP,O
natural,natural,ADJ,O
gas,gas,NOUN,O
has,has,AUX,O
been,been,AUX,O
produced,produced,VERB,O
in,in,ADP,O
the,the,DET,O
past,past,ADJ,O
40,40,NUM,O
-,-,PUNCT,O
odd,odd,ADJ,O
years,years,NOUN,O
.,.,PUNCT,O
###,###,SPACE,O
During,During,ADP,O
the,the,DET,O
"""","""",PUNCT,O
n,n,ADJ,O
inth,##inth,ADJ,O
five,five,NUM,O
-,-,PUNCT,O
year,year,NOUN,O
-,-,PUNCT,O
plan,plan,NOUN,O
"""","""",PUNCT,O
period,period,NOUN,O
-,-,NOUN,O
L,##L,NOUN,O
RB,##RB,NOUN,O
-,##-,NOUN,O
1996,1996,NUM,O
-,-,SYM,O
2000,2000,NUM,O
-,-,NOUN,O
RR,##RR,NOUN,O
B,##B,NOUN,O
-,##-,NOUN,O
",",",",PUNCT,O
S,S,PROPN,O
ich,##ich,PROPN,O
uan,##uan,PROPN,O
Bas,Bas,PROPN,O
in,##in,PROPN,O
's,'s,PART,O
natural,natural,ADJ,O
gas,gas,NOUN,O
ann,ann,ADJ,O
ual,##ual,ADJ,O
production,production,NOUN,O
capacity,capacity,NOUN,O
will,will,AUX,O
reach,reach,VERB,O
more,more,ADJ,O
than,than,SCONJ,O
10,10,NUM,O
billion,billion,NUM,O
c,c,ADJ,O
ub,##ub,ADJ,O
ic,##ic,ADJ,O
met,met,NOUN,O
ers,##ers,NOUN,O
",",",",PUNCT,O
among,among,ADP,O
which,which,DET,O
5,5,NUM,O
billion,billion,NUM,O
will,will,AUX,O
be,be,VERB,O
from,from,ADP,O
the,the,DET,O
Ch,Ch,PROPN,B-geo
ong,##ong,PROPN,I-geo
q,##q,PROPN,I-geo
ing,##ing,PROPN,I-geo
region,region,NOUN,O
.,.,PUNCT,O
###,###,SPACE,O
B,B,PROPN,O
ing,##ing,PROPN,O
gang,##gang,PROPN,O
Z,Z,PROPN,O
hu,##hu,PROPN,O
said,said,VERB,O
that,that,SCONJ,O
during,during,ADP,O
the,the,DET,O
"""","""",PUNCT,O
n,n,ADJ,O
inth,##inth,ADJ,O
five,five,NUM,O
-,-,PUNCT,O
year,year,NOUN,O
-,-,PUNCT,O
plan,plan,NOUN,O
"""","""",PUNCT,O
period,period,NOUN,O
",",",",PUNCT,O
the,the,DET,O
total,total,ADJ,O
invest,invest,NOUN,O
ment,##ment,NOUN,O
of,of,ADP,O
